,age,two_year_recid,priors_count,length_of_stay,c_charge_degree_F,c_charge_degree_M,sex_Female,sex_Male,race,unrelated_column
282,25,0,3,2,True,False,False,True,True,0
283,45,0,0,1,False,True,False,True,False,1
284,46,0,0,42,False,True,False,True,False,0
285,78,0,2,0,True,False,False,True,True,0
286,48,1,0,3,False,True,True,True,False,1
287,23,1,2,1,True,False,False,True,True,1
288,21,1,2,2,True,False,False,True,True,1
289,44,0,0,1,False,True,False,True,True,0
290,48,1,3,19,True,False,False,True,True,1
291,39,1,2,2,True,False,True,True,False,1
292,35,1,1,-2,True,False,False,True,True,1
293,37,0,2,-1,False,True,False,True,False,1
294,29,1,1,10,True,False,False,True,True,0
295,22,0,0,1,False,True,True,True,False,0
296,45,0,0,-1,False,False,False,True,True,0
297,35,0,1,1,False,True,True,False,False,1
298,31,1,1,-1,True,False,False,True,False,0
299,33,1,0,1,True,False,False,True,False,0
300,30,0,1,3,False,True,True,True,False,1
301,21,0,0,38,True,False,True,True,True,0
302,23,1,0,29,True,False,False,True,False,0
303,31,1,0,1,False,True,False,True,False,0
304,38,1,2,2,True,False,False,True,True,0
305,32,0,0,2,False,True,False,True,True,1
306,46,1,2,181,True,False,False,True,True,0
307,24,1,1,-3,True,False,False,True,True,1
308,23,0,0,1,False,True,True,True,False,1
309,65,0,9,4,True,True,False,True,False,1
310,45,0,2,49,True,False,False,True,True,0
311,33,0,8,1,False,True,True,False,False,0
312,36,1,4,1,True,False,False,True,True,0
313,33,0,0,1,False,True,True,True,True,1
314,46,0,0,1,False,True,False,True,False,1
315,29,0,2,-1,True,False,False,True,False,1
316,20,1,5,-2,False,False,True,True,False,1
317,26,1,2,1,True,False,False,True,True,0
318,56,0,0,4,False,True,True,False,False,1
319,65,0,0,3,False,True,False,True,False,1
320,36,0,3,1,False,True,False,True,False,1
321,27,0,3,0,False,False,True,True,False,1
322,34,0,2,2,False,True,True,False,False,0
323,30,1,4,2,True,False,False,True,False,0
324,33,0,2,0,True,False,False,True,False,1
325,26,0,0,-2,True,True,False,True,True,1
326,31,0,2,0,False,True,True,False,True,1
327,73,1,2,27,True,False,False,True,True,0
328,25,1,2,0,True,False,False,True,False,1
329,30,1,2,57,True,False,True,True,True,0
330,38,0,6,3,False,True,True,True,False,0
331,25,0,0,2,False,True,False,True,False,1
332,38,0,0,80,False,True,False,True,False,1
333,41,0,1,-1,False,False,False,True,False,1
334,64,1,6,32,True,False,False,True,True,0
335,46,1,1,122,True,True,False,True,True,0
336,36,1,3,0,False,True,False,True,False,1
337,18,0,2,2,True,True,True,False,False,1
338,36,0,3,2,True,True,False,True,True,0
339,23,0,3,-1,True,False,False,True,False,1
340,53,0,0,3,False,True,True,False,False,1
341,20,1,0,-1,True,False,False,True,True,1
342,27,1,5,4,True,False,False,True,False,0
343,22,0,0,-2,False,True,True,False,False,0
344,35,1,0,0,True,True,False,True,False,0
345,28,0,4,2,False,True,True,False,False,1
346,26,1,2,0,True,False,True,False,False,1
347,65,0,2,1,True,False,False,True,False,1
348,26,1,1,0,True,False,False,True,False,1
349,32,0,0,34,False,True,True,False,False,1
350,22,0,6,1,True,False,False,True,True,0
351,35,1,2,0,True,False,False,True,True,1
352,39,1,0,2,True,False,False,True,False,1
353,35,1,1,6,True,True,False,True,True,0
354,28,0,1,0,True,False,False,True,False,0
355,64,0,2,15,False,True,False,True,False,1
356,18,0,0,0,False,True,False,True,False,0
357,39,0,1,2,False,True,True,True,False,0
358,32,0,16,1,False,True,True,True,False,1
359,28,1,0,0,True,False,False,True,True,1
360,61,0,4,1,False,True,True,False,False,1
361,47,0,2,1,False,True,True,False,False,0
362,23,1,10,2,True,False,False,True,True,0
363,63,0,0,1,False,True,True,False,False,0
364,65,0,1,2,True,False,False,True,False,1
365,35,1,5,4,True,False,False,True,True,0
366,27,1,1,4,False,False,False,True,False,0
367,28,1,1,1,False,False,False,True,True,0
368,26,1,2,0,True,False,False,True,False,1
369,63,0,1,-2,True,False,False,True,True,1
370,33,0,0,-1,False,True,False,True,False,1
371,18,1,0,7,True,False,False,True,True,0
372,26,0,1,-1,True,False,False,True,True,1
373,36,1,8,2,True,False,False,True,False,0
374,50,0,1,1,True,False,True,True,True,0
375,52,1,2,2,True,False,False,True,False,0
376,34,0,1,3,False,True,False,True,False,1
377,26,1,1,2,True,False,False,True,False,1
378,30,0,1,34,True,False,False,True,False,1
379,29,1,0,2,True,False,False,True,True,1
380,83,0,2,1,False,True,False,True,False,0
381,24,1,0,1,True,False,False,True,True,1
382,22,0,0,-2,False,True,False,True,False,1
383,34,0,1,2,False,True,True,True,False,1
384,29,1,4,13,True,False,False,True,True,0
385,20,0,21,2,True,True,True,False,True,1
386,35,0,2,2,False,True,False,True,False,0
387,20,1,2,22,True,True,False,True,False,0
388,34,0,4,3,True,False,False,True,False,1
389,24,1,1,0,True,False,False,True,True,0
390,30,1,1,3,True,False,False,True,True,0
391,37,0,1,-3,False,True,False,True,False,1
392,49,1,2,200,True,False,False,True,True,1
393,54,0,4,-1,True,False,False,True,True,0
394,27,0,2,-1,False,True,False,True,True,0
395,48,0,4,3,True,False,False,True,True,1
396,41,1,2,12,True,False,False,True,False,0
397,37,0,2,2,False,True,True,False,False,1
398,26,0,0,0,False,True,True,False,False,0
399,24,0,1,3,False,False,True,False,True,0
400,34,0,4,0,False,True,False,True,False,1
401,69,1,2,1,True,False,False,True,False,0
402,39,1,2,-1,False,True,False,True,False,0
403,26,1,2,2,True,False,False,True,False,1
404,24,0,6,0,True,False,False,True,False,1
405,35,0,1,3,False,True,False,True,False,1
406,20,1,5,97,True,False,False,True,True,0
407,55,0,0,2,False,True,False,False,False,1
408,66,1,2,3,True,False,False,True,True,0
409,65,0,0,2,True,False,False,True,False,0
410,35,0,2,1,True,False,False,True,True,0
411,39,1,1,1,True,False,False,True,True,0
412,36,0,2,3,True,False,False,True,False,1
413,45,0,0,1,False,True,False,True,False,0
414,33,0,2,10,True,False,False,True,False,1
415,32,0,2,3,False,True,True,False,True,1
416,35,0,7,3,False,True,True,True,False,1
417,18,1,10,0,True,False,False,True,False,1
418,60,0,0,1,False,True,False,True,False,1
419,36,0,0,2,False,True,True,False,False,0
420,23,0,0,-2,False,True,True,True,False,0
421,32,1,3,10,True,False,False,True,True,1
422,29,1,0,3,False,False,False,True,True,0
423,20,0,2,-2,True,False,False,True,True,0
424,30,1,0,49,False,True,True,False,False,1
425,45,0,0,4,False,True,True,False,False,1
426,60,0,2,2,True,False,False,True,True,1
427,36,1,2,-2,True,False,False,True,True,1
428,42,0,1,-1,True,False,True,False,False,0
429,48,1,3,-1,True,False,False,True,True,1
430,33,0,1,8,True,False,False,True,True,1
431,22,0,0,3,True,False,False,True,False,0
432,26,1,25,3,False,True,False,True,False,1
433,30,0,0,-1,False,True,False,False,False,0
434,19,1,3,2,False,True,False,True,True,1
435,40,0,11,0,True,False,False,True,False,1
436,25,0,0,1,False,True,True,False,False,1
437,28,0,1,-1,True,True,False,True,True,0
438,59,0,0,1,False,True,True,True,True,1
439,33,1,17,-1,True,False,False,True,True,1
440,29,1,2,2,True,True,True,True,True,0
441,44,1,3,1,True,False,False,True,False,1
442,27,0,3,19,True,False,False,True,True,1
443,40,0,0,1,False,True,True,False,False,1
444,73,0,0,2,False,True,True,True,False,1
445,43,1,7,5,True,False,False,True,True,0
446,22,0,6,3,False,True,True,False,False,1
447,24,0,6,1,True,False,False,True,True,0
448,24,0,0,-1,False,True,False,False,False,1
449,25,0,0,2,False,True,False,True,False,1
450,45,0,2,3,False,True,False,True,False,1
451,23,1,5,-1,True,False,False,True,True,1
452,18,0,2,1,True,False,False,True,False,0
453,64,0,5,2,True,True,False,True,False,0
454,35,0,2,1,False,False,False,False,False,1
455,22,0,1,-1,True,False,False,True,False,0
456,22,0,2,1,False,True,True,False,False,1
457,26,0,0,1,False,True,True,False,False,1
458,27,1,4,3,True,False,False,True,False,0
459,34,0,5,3,True,False,False,True,False,0
460,31,0,2,4,False,True,False,False,False,0
461,29,0,1,7,True,False,False,True,False,1
462,25,1,0,2,False,True,False,True,False,0
463,31,0,6,0,True,False,False,True,True,1
464,32,0,3,3,False,True,True,False,False,0
465,16,0,2,0,True,False,False,True,True,0
466,18,0,0,-1,False,True,True,True,True,1
467,23,1,4,2,True,False,False,True,True,0
468,27,0,0,1,False,True,True,True,False,1
469,33,0,0,3,False,True,True,False,False,0
470,62,1,1,-11,True,False,False,True,True,1
471,29,1,4,0,True,False,False,True,True,0
472,25,0,0,46,False,False,False,True,False,1
473,25,1,3,2,True,False,False,True,True,0
474,26,0,13,37,True,False,False,True,False,1
475,37,1,2,-1,True,False,False,True,True,1
476,56,1,5,4,True,False,False,True,False,0
477,40,1,4,4,True,False,False,True,True,1
478,36,1,10,3,True,False,False,True,True,0
479,19,1,0,0,True,False,False,True,True,0
480,26,1,3,48,True,False,False,True,False,0
481,54,0,0,13,True,False,False,True,True,0
482,27,1,2,10,True,False,False,True,True,0
483,29,1,3,2,True,False,False,True,False,0
484,26,1,4,4,True,False,False,True,True,0
485,41,1,0,-1,True,False,False,True,True,1
486,26,1,0,3,True,False,False,True,False,0
487,31,0,1,42,False,True,False,True,False,1
488,27,0,1,1,False,True,True,False,False,1
489,47,0,2,59,True,False,False,True,False,0
490,26,1,1,1,True,False,False,True,True,0
491,41,0,5,16,True,True,True,False,True,1
492,28,1,2,2,True,False,False,True,True,0
493,20,1,0,12,True,False,False,True,False,0
494,52,0,0,3,False,True,True,False,False,0
495,33,1,1,3,True,False,False,True,True,0
496,46,0,0,3,True,False,False,True,False,1
497,34,0,2,2,True,False,False,True,False,1
498,33,0,0,4,True,False,False,True,False,0
499,24,0,0,2,False,True,True,True,False,1
500,66,0,12,64,False,False,False,True,False,1
501,38,0,0,1,False,True,True,True,True,0
502,44,0,8,2,True,False,False,True,False,1
503,46,1,0,50,True,False,False,True,True,0
504,34,1,0,0,False,True,False,True,True,0
505,27,0,1,2,False,True,True,False,False,1
506,25,0,0,-1,False,True,False,True,False,1
507,64,0,0,0,False,True,False,True,False,1
508,25,1,2,3,False,True,True,False,True,0
509,27,1,1,1,True,False,False,True,True,0
510,25,0,0,2,False,True,False,True,False,1
511,25,1,6,3,True,False,False,True,False,1
512,48,1,0,0,False,True,False,True,False,1
513,47,0,2,3,False,True,True,False,False,1
514,31,1,8,1,False,True,False,True,False,1
515,20,1,3,-2,True,False,False,True,True,0
516,49,0,0,-1,False,True,True,True,False,0
517,34,1,2,1,True,False,False,True,False,0
518,28,1,1,-2,True,True,True,False,False,1
519,50,1,3,-1,True,False,False,True,True,1
520,25,1,2,57,True,False,False,True,True,0
521,24,1,2,0,False,False,False,True,True,0
522,26,0,0,1,False,True,False,True,False,1
523,33,0,1,0,True,False,True,True,True,0
524,26,0,8,2,False,False,False,False,True,1
525,27,1,1,5,True,False,False,True,False,1
526,22,0,1,1,True,False,True,False,False,0
527,40,0,0,-1,True,True,False,True,False,1
528,31,1,1,51,True,False,False,True,True,0
529,49,0,17,3,False,True,True,False,False,1
530,22,0,0,2,False,True,False,True,False,0
531,21,1,3,-2,True,False,False,True,False,1
532,37,0,2,1,False,True,False,True,True,1
533,33,0,1,3,False,True,True,False,False,1
534,27,0,0,4,False,True,False,True,False,0
535,29,1,3,2,True,False,False,True,True,1
536,29,0,0,0,False,True,False,True,False,1
537,25,1,2,1,True,False,False,True,True,0
538,28,0,0,3,False,True,True,True,False,0
539,22,0,16,1,False,True,True,False,False,1
540,21,1,16,2,True,False,False,True,True,0
541,42,0,0,-1,False,True,True,False,False,0
542,22,0,2,4,True,False,False,True,False,1
543,20,0,0,58,True,False,False,True,True,0
544,58,1,1,-3,True,False,False,True,True,1
545,25,1,0,0,True,True,False,True,False,0
546,21,1,2,46,True,False,False,True,True,1
547,46,0,0,3,False,False,True,True,True,1
548,39,0,0,-1,False,True,True,False,False,0
549,34,0,4,2,False,False,False,True,False,1
550,32,0,0,3,True,False,True,False,False,1
551,24,1,0,0,True,False,False,True,False,1
552,23,0,2,-1,False,False,False,True,False,1
553,80,0,1,3,False,True,True,False,False,1
554,28,1,11,-2,False,True,False,False,False,0
555,30,1,4,19,False,False,False,True,False,1
556,24,0,0,1,False,False,False,True,True,0
557,22,1,2,20,True,False,False,True,True,0
558,24,0,3,-2,True,False,False,True,True,1
559,30,1,2,2,True,False,False,True,True,1
560,44,0,2,1,False,True,True,False,False,0
561,27,1,2,3,True,False,True,False,False,0
562,24,1,2,-1,True,False,False,True,True,0
563,22,0,5,0,True,False,False,True,False,1
564,21,0,0,0,False,True,False,True,True,1
565,30,1,5,1,False,True,True,False,False,1
566,32,0,1,40,True,False,False,True,False,1
567,47,0,0,2,False,True,False,True,True,0
568,32,1,1,3,True,False,True,False,False,1
569,45,0,0,3,False,True,True,False,True,1
570,29,1,1,85,True,False,False,True,True,1
571,19,1,0,-1,True,False,False,True,True,1
572,34,0,0,3,False,False,True,False,False,0
573,25,1,5,-5,True,False,False,True,True,1
574,27,1,1,4,True,False,False,True,False,1
575,28,1,2,1,True,False,False,True,False,0
576,17,1,2,15,True,False,False,True,True,0
577,33,0,1,-2,False,True,True,False,False,0
578,27,0,4,4,False,True,True,True,False,0
579,37,1,6,0,True,False,False,True,True,1
580,31,1,14,2,True,False,False,True,False,0
581,28,0,3,1,True,True,False,True,False,1
582,27,0,0,0,True,True,False,True,False,1
583,29,0,0,0,True,True,False,True,False,0
584,22,0,0,0,False,True,False,False,False,1
585,30,0,2,0,True,True,False,True,False,0
586,27,1,1,11,True,False,False,True,False,1
587,25,0,1,20,True,True,True,False,False,0
588,19,0,0,-1,False,True,False,True,False,0
589,19,0,0,0,False,False,False,True,False,0
590,21,0,0,0,False,True,False,True,False,1
591,48,0,3,0,False,False,False,False,False,1
592,32,0,4,3,False,True,False,False,True,0
593,36,0,0,2,True,False,False,True,True,0
594,38,0,0,3,True,True,False,True,True,1
595,36,0,18,1,False,True,False,True,False,1
596,46,0,0,1,False,True,True,True,False,1
597,59,1,2,-1,False,True,False,True,False,1
598,26,1,9,88,True,False,False,True,True,1
599,28,0,0,2,False,False,True,True,True,1
600,58,0,0,40,False,True,False,True,True,1
601,23,0,10,3,True,False,True,True,True,0
602,45,0,0,3,False,True,False,True,False,0
603,39,1,4,0,True,False,False,True,True,0
604,44,0,2,4,False,True,False,True,True,0
605,22,1,2,1,True,False,False,True,True,1
606,18,0,0,2,False,True,True,False,False,1
607,26,0,5,2,False,False,False,True,True,0
608,62,1,0,2,False,True,True,True,False,0
609,32,0,0,1,True,False,True,False,True,0
610,34,1,2,1,True,True,False,True,False,0
611,68,1,0,3,False,False,False,True,False,0
612,25,1,0,0,True,False,False,True,False,1
613,26,0,1,0,False,True,True,False,True,1
614,21,0,1,1,True,False,False,True,True,0
615,33,0,0,-1,True,False,False,True,True,0
616,25,0,5,4,True,False,False,True,True,0
617,74,1,1,106,False,False,False,True,False,1
618,33,1,1,69,True,False,False,True,True,0
619,28,0,2,4,False,True,False,True,True,0
620,28,0,7,0,True,False,False,True,True,0
621,20,0,0,2,False,True,False,False,False,1
622,49,1,7,-1,True,False,False,True,True,1
623,60,0,1,0,True,False,False,True,False,0
624,35,1,3,48,True,False,False,True,True,0
625,68,0,0,0,False,True,True,False,False,0
